acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
2.25,5.82,7.89,-0.25,0.61,-0.23,9.87,-0.01,-1.25,-38.48,128.68
2.25,5.78,7.89,-0.25,0.61,-0.23,9.83,-0.01,-1.25,-38.74,128.81
2.27,6.09,8.31,-0.25,0.61,-0.17,9.39,-0.03,-2.51,-38.48,129.88
2.19,4.09,9.56,-0.25,0.61,-3.54,9.57,0.01,4.39,-38.48,125.31
2.64,-0.48,9.65,-0.25,0.61,-4.64,9.81,-0.01,-3.13,-37.96,151.29
2.09,6.48,9.21,-0.25,0.61,-2.74,11.43,0.00,0.00,-38.22,119.83
2.69,3.57,9.49,-0.25,0.61,1.39,13.08,0.01,0.63,-38.22,154.29
2.18,2.65,10.06,-0.25,0.61,-5.58,9.50,-0.01,-0.00,-38.48,125.04
-2.83,5.81,11.18,-0.25,0.61,19.60,13.91,-0.01,0.63,-38.22,-162.33
2.25,4.64,8.20,-0.25,0.61,-1.89,13.00,0.00,-0.63,-38.74,128.71
2.59,2.15,9.79,-0.25,0.61,-1.85,11.28,-0.01,-2.51,-38.22,148.55
1.81,4.00,9.90,-0.25,0.61,-8.19,8.62,0.01,-0.00,-38.74,103.79
2.69,9.21,6.80,-0.25,0.61,12.71,15.29,-0.01,-0.63,-38.48,154.00
1.15,9.90,7.06,-0.25,0.61,-11.14,10.04,0.01,-0.63,-38.74,66.05
2.45,9.60,5.85,-0.25,0.61,3.43,5.57,0.86,23.19,-38.48,140.59
2.14,6.60,9.18,-0.25,0.61,-1.39,7.72,1.47,25.07,-38.74,122.50
2.89,3.98,4.75,-0.25,0.61,11.06,9.89,2.46,-10.03,-38.22,165.38
2.27,8.12,6.08,-0.25,0.61,2.59,8.54,1.34,-15.04,-38.48,129.89
2.31,6.37,6.49,-0.25,0.61,2.21,10.08,1.25,-13.16,-38.48,132.61
2.33,6.37,6.04,-0.25,0.61,2.89,10.21,0.57,-11.91,-38.74,133.34
2.36,4.60,7.98,-0.25,0.61,-0.11,9.75,0.00,-3.76,-38.48,135.49
2.25,6.31,7.72,-0.25,0.61,0.34,9.87,0.00,0.63,-38.74,129.15
2.30,5.08,7.72,-0.25,0.61,-0.16,9.87,0.02,1.88,-38.48,131.55
2.29,5.30,7.91,-0.25,0.61,-0.23,10.03,-0.01,-0.63,-38.74,131.10
2.29,5.22,7.88,-0.25,0.61,-0.19,9.95,0.00,0.00,-38.48,131.46
2.25,5.82,7.85,-0.25,0.61,-0.19,9.87,0.00,-0.63,-38.48,128.69
2.24,6.04,7.86,-0.25,0.61,-0.11,9.75,0.00,-0.63,-38.74,128.31
2.27,5.28,7.77,-0.25,0.61,-0.31,9.79,-0.01,-1.88,-38.48,129.91
2.30,5.21,7.80,-0.25,0.61,-0.08,9.83,0.01,-0.63,-38.48,131.75
2.29,5.52,7.96,-0.25,0.61,-0.08,10.03,-0.00,1.88,-38.74,131.16
2.39,4.86,7.80,-0.25,0.61,0.53,10.24,-0.06,-2.51,-38.48,136.88
2.23,6.17,7.63,-0.25,0.61,0.09,9.15,-0.27,-6.90,-38.74,127.80
2.20,5.47,9.11,-0.25,0.61,-1.95,9.98,-0.34,3.13,-38.74,125.98
2.19,7.97,8.01,-0.25,0.61,0.50,10.40,-0.00,6.90,-38.48,125.74
